en,my
Ms Kimura is to the left of Mr Tanaka,မစ္စတာတာနာခါရဲ့ ဘယ်ဘက်မှာ မစ္စတာခိမုရ ရှိတယ်။
My friend is going to stay at my house tonight,ဒီည သူငယ်ချင်း အိမ်မှာ လာတည်းမယ်။
I received a souvenir from my friend,သူငယ်ချင်းဆီက ခရီးအပြန်လက်ဆောင် ရခဲ့တယ်။
My brother has a strong body,ညီလေးက ကိုယ်ခန္ဓာ အရမ်း သန်မာတယ်။
Have you finished your test Well then please hand it in,စာမေးပွဲ ဖြေပြီးပြီလား။ ပြီးရင် ထပ်လိုက်ပါ။
There is a vase in the lobby,အိမ်အဝင်မှာ ပန်းအိုး ထားထားတယ်။
I buy fruits and vegetables at a vegetable shop,ကျွန်တော် သစ်သီးတို့ ဟင်းသီးဟင်းရွက်တို့ကို ဟင်းသီးဟင်းရွက်ဆိုင်မှာ ဝယ်တယ်။
My friend is coming so I will clean this room,သူငယ်ချင်း လာမှာမို့လို့ အခန်းကို သန့်ရှင်းရေးလုပ်မယ်။
My mother loves cake,မေမေက ကိတ်မု့န် အရမ်း ကြိုက်တယ်။
Studying Japanese is fun,ဂျပန်စာ လေ့လာရတာ ပျော်တယ်။
How much is it,ဘယ်လောက်လဲ။
I will give back the book to the library,စာကြည့်တိုက်မှာ စာအုပ် ပြန်အပ်မယ်။
I will not go out when it snows,နှင်းကျတဲ့နေ့ဆို အပြင်မထွက်ဘူး။
What transport do you use to get to work,ဘာနဲ့ ကုမ္ပဏီကို သွားမလဲ။
I only ate bread,ပေါင်မုန့်ပဲ စားလိုက်တယ်။
The person wearing glasses is Mr Matsui,ဟို မျက်မှန်တပ်ထားတဲ့လူက မစ္စတာမဆုအိပါ။
I take a walk every morning,ကျွန်တော် မနက်တိုင်း လမ်းလျှောက်တယ်။
This notebook is wider than it is tall,ဒီစာအုပ်က အလျားထက်စာရင် အနံက ပိုရှည်တယ်။
A library will be built there in two years,နောက်နှစ်နှစ်ကျရင် အဲဒီမှာ စာကြည့်တိုက် ဖွင့်မယ် ကြားတယ်။
I always eat bread for breakfast,မနက်စာဆို အမြဲတမ်း ပေါင်မုန့်ပဲ စားတယ်။
I gave flowers to my father,ကျွန်တော် အဖေ့ကို ပန်း ပေးတယ်။
I didnt know the way so I looked at the map,လမ်းမသိလို့ မြေပုံကို ကြည့်တယ်။
I have a fever so I will be absent from school,ကိုယ်ပူနေလို့ ဒီနေ့ အနားယူမယ်။
I wrote a letter to my friend yesterday,မနေ့က သူငယ်ချင်းဆီ စာရေးခဲ့တယ်။
That person is always loud during class,စာသင်ချိန်မှာ အဲဒီလူ အမြဲတမ်း နားငြီးအောင် လုပ်တယ်။
The colours in this picture are very beautiful,ဒီပန်းချီက အရောင်လှတယ်။
I was tired yesterday so I woke up late this morning,မနေ့က ပင်ပန်းသွားလို့ မနက်က နောက်ကျမှ အိပ်ရာထတယ်။
The set meal in that cafeteria is cheap and good,အဲဒီစားသောက်ဆိုင်ကဆက်မီနူးက ဈေးသက်သာပြီး စားလို့ကောင်းတယ်။
I bought three fish at the supermarket yesterday,မနေ့က စူပါမားကက်မှာ ငါး သုံးကောင် ဝယ်ခဲ့တယ်။
I am not good at singing a song,ကျွန်တော် သီချင်းဆို ညံ့တယ်။
I already took my medicine so Im alright,ဆေးသောက်လိုက်တာမို့လို့ ကောင်းသွားမှာပါ။
There is a forest on the east side of this town,ဒီမြို့ရဲ့ အရှေ့ဘက်က အားလုံး သစ်တောတွေပါ။
There is a calendar on the desk,စာရေးခုံပေါ်မှာ ပြက္ခဒိန် ထားထားတယ်။
When you cross the bridge there is a park right there,တံတားကို ကူးရင် ချက်ချင်း ပန်းခြံ ရှိတယ်။
There are a lot of foreign students at this school,ဒီကျောင်းမှာ နိုင်ငံခြားသားကျောင်းသား များတယ်။
If you study your Japanese will get better little by little,ဂျပန်စာကို လေ့လာရင် နည်းနည်းစီ တိုးတက်လာမှာပါ။
Mr Matsui is better at football than baseball,မစ္စတာမဆုအိက ဘောလုံးထက် ဘေ့စ်ဘော ပိုတော်တယ်။
Yes here you are,ဟုတ်ကဲ့၊ ကောင်းပါပြီ၊ လုပ်ပါ။
I will write my name on the envelope,စာအိတ်မှာ နာမည်ကို ရေးလိုက်မယ်။
Everyone is waiting for the teacher in the classroom,အားလုံး စာသင်ခန်းထဲမှာ ဆရာ့ကို စောင့်နေတယ်။
Who wrote this essay There is no name,ဒီစာစီစာကုံးကို ရေးတဲ့သူက ဘယ်သူလဲ။ နာမည်တပ်မထားဘူး။
My parents live near the sea,ကျွန်တော့်မိဘတွေက ပင်လယ်ကမ်းခြေဘေးနားမှာ နေတယ်။
My legs are tired because I walked so much,လမ်း အများကြီး လျှောက်လိုက်လို့ ခြေထောက် ညောင်းသွားတယ်။
I will go into the room by opening the door,တံခါး ဖွင့်ပြီး အခန်းထဲ ဝင်မယ်။
Mr Yamada will be going to Tokyo next month,မစ္စတာယာမာဒါ နောက်လမှာ တိုကျိုကို သွားမယ်တဲ့။
I drank a little bit of alcohol yesterday,မနေ့က အရက် နည်းနည်း သောက်ခဲ့တယ်။
This story is true,ဒီစကားက အမှန်တကယ်။
Although today is a Sunday I have work,ဒီနေ့ တနင်္ဂနွေနေ့ဆိုပေမဲ့ အလုပ် ရှိတယ်။
I will put money in my pocket,အိတ်ကပ်ထဲ ပိုက်ဆံ ထည့်တယ်။
I will swim even if it is cold,ချမ်းပေမဲ့လည်း ရေကူးမယ်။
I study English using a dictionary,အဘိဓာန် သုံးပြီး အင်္ဂလိပ်စာ လေ့လာတယ်။
This class is very interesting,ဒီအတန်းက အရမ်း စိတ်ဝင်စားဖို့ကောင်းတယ်။
Mr Tanaka is an energetic person,မစ္စတာတာနာခါဟာ တက်တက်ကြွကြွရှိတဲ့လူ ဖြစ်တယ်။
This jacket has a lot of pockets so it is convenient,ဒီအပေါ်ထပ်အင်္ကျီမှာက အိတ်ကပ်တွေ အများကြီး ရှိလို့ အဆင်ပြေတယ်။
I am busy every day so I cannot really rest,နေ့တိုင်း အလုပ်များလို့ သိပ် အနားမယူနိုင်ဘူး။
I will stay at a hotel,ဟိုတယ်မှာ တည်းမယ်။
I will graduate from university next year,နောက်နှစ်မှာ ကျွန်တော် တက္ကသိုလ်ပြီးမယ်။
Ms Matsui loves cute things,မစ္စတာခိမုရက ချစ်စရာကောင်းတဲ့ပစ္စည်းလေးတွေဆို အရမ်း သဘောကျတယ်။
Please wait for two minutes,နှစ်မိနစ် စောင့်ပါ။
That restaurant is cheap but it doesnt taste very good,အဲဒီစားသောက်ဆိုင်က ဈေးပေါတယ်။ ဒါပေမဲ့ သိပ် စားလို့မကောင်းဘူး။
I like white the best of all the colours,ကျွန်တော် အရောင်တွေထဲမှာ အဖြူရောင်ကို အကြိုက်ဆုံးပဲ။
I will get on bus number  from the station,ဘူတာကနေ နံပါတ်ဆယ်ငါးဘတ်စကား စီးမယ်။
There are trees and flowers in Mr Tanakas home garden,မစ္စတာတာနာခါရဲ့ အိမ်ကခြံဝန်းထဲမှာ သစ်ပင်ပန်းပင်တွေ ရှိတယ်။
Mr Tanaka will go overseas on the second next month,မစ္စတာတာနာခါ နောက်လ နှစ်ရက်နေ့မှာ နိုင်ငံခြား သွားမယ်။
I do not have any money right now,ကျွန်တော် အခု ပိုက်ဆံ မရှိဘူး။
I eat bread egg and so on,ပေါင်မုန့်တို့ ကြက်ဥတို့ စားတယ်။
It looks like it is going to rain,မိုးရွာမလိုပဲ။
Roads in this town are narrow,ဒီမြို့က လမ်းကျဉ်းတယ်။
I cannot study because the neighbours dog is loud,ဘေးအိမ်ကခွေးက ဆူလို့ စာဖတ်လို့မရဘူး။
I shampoo my hair before I cut it,ဆံပင်မညှပ်ခင် ခေါင်း အရင် လျှော်တယ်။
I received a bank transfer form at the counter,ကောင်တာကနေ ငွေလွှဲပုံစံစာရွက် ရခဲ့တယ်။
How much is this ballpoint pen,ဒီဘောပင် ဘယ်လောက်လဲ။
There is a postbox in front of the post office and near the station,စာတိုက်ရဲ့ အရှေ့နဲ့ ဘူတာရဲ့ ဘေးတွေမှာ စာတိုက်ပုံး ရှိတယ်။
It is seven in the morning right now,အခု မနက်ခုနစ်နာရီပါ။
During the winter the northern part of Japan gets very cold,ဆောင်းတွင်း ရောက်ရင် ဂျပန်ရဲ့ မြောက်ဘက်ပိုင်းမှာ အရမ်း အေးတယ်။
Please wait a second,ခဏလောက် စောင့်ပါ။
Which one do you want,ဘာ လိုချင်ပါသလဲ။
It gets warm when it is spring,နွေဦးရောက်ရင် နွေးလာမယ်။
Summer in Japan is very hot,ဂျပန်ကနွေရာသီက အရမ်း ပူတယ်။
I always take a bath before sleeping,အမြဲတမ်း မအိပ်ခင် ရေချိုးတယ်။
Which shoes are you going to buy,ဘယ်လိုဖိနပ်မျိုးကို ဝယ်မလဲ။
Vegetable shops are cheaper than supermarkets,စူပါမားကက်ထက်စာရင် ကုန်စိမ်းဆိုင်က ဈေးချိုတယ်။
I will drink one more glass of water,ရေ နောက်တစ်ခွက် ထပ်သောက်မယ်။
There is a student in the classroom,စာသင်ခန်းမှာ ကျောင်းသား တစ်ယောက် ရှိတယ်။
This colour is very pretty,ဒီအရောင်က အရမ်း လှတယ်။
You cannot put things here,ဒီမှာ ပစ္စည်း ထားလို့မရဘူး။
Excuse me may I try this shirt on,တစ်ဆိတ်လောက် မေးပါရစေ၊ ဒီအင်္ကျီ ဝတ်ကြည့်လို့ရမလား။
That hospital is closed on Wednesdays and Sundays,ဟိုနားကဆေးရုံက ဗုဒ္ဓဟူးနေ့နဲ့ တနင်္ဂနွေနေ့ ပိတ်တယ်။
I stayed overnight at my friends house because there was no train to go home,အပြန်ရထား မရှိလို့ သူငယ်ချင်းအိမ်မှာ ဝင်တည်းတယ်။
I could not wake up because I had a fever,ကိုယ်ပူပြီး အိပ်ရာက မထနိုင်ဘူး။
I eat one egg every morning,ကျွန်တော် မနက်တိုင်း ကြက်ဥ တစ်လုံး စားတယ်။
I want a Japanese dictionary,ကျွန်တော် ဂျပန်စာအဘိဓာန် လိုချင်တယ်။
Although work is busy it is fun,အလုပ်က ပင်ပန်းပေမဲ့ စိတ်ဝင်စားဖို့ ကောင်းတယ်။
The sky is big,ကောင်းကင်ကြီးက ကျယ်တယ်။
I bought a new camera,ကင်မရာအသစ် ဝယ်လိုက်တယ်။
Ms Kimura is very cute,မစ္စခိမုရက အရမ်း ချစ်ဖို့ကောင်းတယ်။
I will wait for Mr Kobayashi at the station this evening,ဒီည ကျွန်တော် ဘူတာမှာ မစ္စတာခိုဘာယာရှိကို စောင့်မယ်။
Mr Kobayashi has a pet in his house,မစ္စတာခိုဘာယာရှိရဲ့ အိမ်မှာ အိမ်မွေးတိရစ္ဆာန် ရှိတယ်။
Thank you for everything,အစစအရာရာ ကျေးဇူးတင်ပါတယ်။
I will lend money to Mr Yamada,မစ္စတာယာမာဒါကို ပိုက်ဆံချေးမယ်။
After cutting this vegetable I will wash it,ဟင်းရွက်တွေကို လှီးပြီး ဆေးမယ်။
I live in a beautiful and quiet flat,လှပသန့်ရှင်းပြီး တိတ်ဆိတ်တဲ့ အိမ်ခန်းမှာ နေတယ်။
I gave the bag to Mr Matsui that was near me,ကျွန်တော့်ဘေးမှာ ထားထားတဲ့ အိတ်ကို မစ္စတာမဆုအိကို ပေးလိုက်တယ်။
If you read the newspaper every day you can remember it,နေ့တိုင်း သတင်းစာ ဖတ်ရင် မှတ်မိလိမ့်မယ်။
I study Japanese by looking at the dictionary,အဘိဓာန်ကို သုံးပြီး ဂျပန်စာ လေ့လာတယ်။
Oh good,အမလေး၊ တော်ပါသေးရဲ့။
It is seven in the afternoon right now,အခု ညခုနစ်နာရီပါ။
I like autumn better than spring,ကျွန်တော်က နွေဦးထက် ဆောင်းဦးကို ပိုနှစ်သက်တယ်။
You cannot use a knife because it is dangerous,အန္တရာယ်များလို့ ဓား မသုံးရဘူး။
Every morning my father reads the newspaper after waking up,အဖေ မနက် အိပ်ရာထတိုင်း သတင်းစာ ဖတ်တယ်။
The lift is over there,ဟိုမှာ ဓာတ်လှေခါး ရှိတယ်။
I am thinking of looking for a cheaper room,ပိုပြီး ဈေးသက်သာတဲ့အခန်းကို ရှာမလို့ စိတ်ကူးထားတယ်။
I cut the fruit in half,အသီးကို ထက်ခြမ်း ခြမ်းတယ်။
Mr Tanaka graduated from university two years ago,တမြန်နှစ်က မစ္စတာတာနာခါ တက္ကသိုလ်ထွက်ခဲ့တယ်။
There are eggs vegetables fruit and so on in the refrigerator,ရေခဲသေတ္တာထဲမှာ ကြက်ဥတွေ ဟင်းသီးဟင်းရွက်တွေနဲ့ သစ်သီးတွေ ရှိတယ်။
I want to become better at English,ကျွန်တော် အင်္ဂလိပ်စာ ဒီထက် ပိုတော်ချင်တယ်။
I showed my ticket to the station staff,ကျွန်တော် ဘူတာဝန်ထမ်းကို လက်မှတ် ပြလိုက်တယ်။
You need your passport when you go abroad,နိုင်ငံခြား သွားတဲ့အခါ ပတ်စပို့ လိုတယ်။
That person with black hair is Mr Matsui,ဟို ဆံပင်အနက်ရောင်နဲ့လူက မစ္စတာမဆုအိပါ။
Excuse me where is the toilet,တစ်ဆိတ်လောက် မေးပါရစေ၊ အိမ်သာက ဘယ်နားမှာပါလဲ။
I would like to travel all around Japan,ကျွန်တော် ဂျပန်အနှံ့ ခရီးသွားချင်တယ်။
I will go to sleep at,ဆယ့်တစ်နာရီမှာ အိပ်တယ်။
I run three kilometres every morning,ကျွန်တော် မနက်တိုင်း သုံးကီလို ပြေးတယ်။
I go home by taxi,တက္ကစီနဲ့ အိမ်ပြန်မယ်။
Ms Kimuras hair is brown,မစ္စတာခိမုရရဲ့ ဆံပင်က အနီရောင်ပါ။
I am waiting for the bus,ကျွန်တော် ဘတ်စကား စောင့်နေတယ်။
Brazil is a country that has a strong football team,ဘရာဇီးဟာ ဘောလုံး အရမ်း အားသာတဲ့နိုင်ငံ ဖြစ်တယ်။
It was very fun today,ဒီနေ့ အရမ်း ပျော်ခဲ့တယ်။
Lets walk if it is close,နီးတယ်ဆိုရင် ခြေလျင်လျှောက်မယ်လေ။
Mr Lee is living by himself in Japan,မစ္စတာလီ ဂျပန်မှာ တစ်ယောက်တည်း နေတယ်။
Today I will make curry for dinner,ဒီနေ့ ညစာအတွက် ကာရီ ချက်မယ်လို့ စိတ်ကူးထားတယ်။
A day is very short,နေ့တစ်နေ့ ဆိုတာ အရမ်း တိုတယ်။
I practise the piano every day,ကျွန်တော် နေ့တိုင်း စန္ဒရား လေ့ကျင့်တယ်။
I did not understand the meaning of the teachers words,ဆရာ ပြောတဲ့အဓိပ္ပာယ် နားမလည်ဘူး။
I will wake up early tomorrow morning,မနက်ဖန် မနက်စောစော ထမယ်။
It was cloudy all day yesterday,မနေ့က တောက်လျှောက် မိုးအုံ့တယ်။
I didnt know the time so I looked at the clock in the classroom,အချိန် မသိလို့ စာသင်ခန်းနာရီကို ကြည့်လိုက်တယ်။
I will be at school tomorrow morning,မနက်ဖန် မနက်ပိုင်း ကျောင်းမှာ ရှိမယ်။
There is a notebook in the bag,အိတ်ထဲမှာ မှတ်စုစာအုပ် ရှိတယ်။
I wash my hands before eating,ထမင်း မစားခင် လက်ဆေးတယ်။
I will send a letter to Mr Tanaka,မစ္စတာတာနာခါဆီကို စာပို့မယ်။
Um excuse me Where is the library,ဟို တစ်ဆိတ်လောက် မေးပါရစေ။ စာကြည့်တိုက် ဘယ်နားမှာ ရှိပါသလဲ။
I finished about half of my homework,အိမ်စာ တစ်ဝက်လောက် ပြီးသွားပြီ။
I will go to a real estate office next week to find a new room,နောက်အပတ် အိမ်ခြံမြေဝန်ဆောင်မှုရုံးခန်းမှာ အိမ်ခန်းအသစ် သွားရှာမယ်။
Starting next week we have a test every day,နောက်အပတ်ကစပြီး နေ့တိုင်း စာမေးပွဲ ရှိတယ်။
It is dangerous to go home by yourself because it is already late,ည အရမ်း မိုးချုပ်ပြီမို့ တစ်ယောက်တည်း ပြန်ရမှာ အန္တရာယ်များတယ်။
Mr Yamada gave a book to my little sister,မစ္စတာယာမာဒါက ညီမလေးကို စာအုပ် ပေးတယ်။
I slept for eight hours yesterday,မနေ့က ရှစ်နာရီကြာလောက် အိပ်တယ်။
A new restaurant was built in front of the station yesterday,မနေ့က ဘူတာရှေ့မှာ စားသောက်ဆိုင်သစ်တစ်ဆိုင် ဖွင့်ထားတာ တွေ့လိုက်တယ်။
The night is dark so it is dangerous,ညဘက်က မှောင်တော့ အန္တရာယ်များတယ်။
My sister is four years old,ကျွန်တော့်ညီမလေးက လေးနှစ်ပါ။
Although I cut my hair last month it has already become long,ရှေ့လကမှ ဆံပင်ညှပ်ထားတာ ပြန်ရှည်လာပြန်ပြီ။
There are a lot of animals in that mountain,အဲဒီတောင်မှာ တိရစ္ဆာန်တွေ အများကြီး ရှိတယ်။
Please hand in the paper with the answers written on it,အဖြေ ရေးပြီးတဲ့စာရွက်ကို ထပ်လိုက်ပါ။
I am free tomorrow so I will go out with my friend,ကျွန်တော် မနက်ဖန် အားလို့ သူငယ်ချင်းနဲ့ လျှောက်လည်မယ်။
My sister already went to bed,ညီမလေး အိပ်သွားပြီ။
Mr Matsui runs fast,မစ္စတာမဆုအိက အပြေးမြန်တယ်။
My brother will become twenty years old next month,ကျွန်တော့်ညီ နောက်လဆို အသက်နှစ်ဆယ် ပြည့်မယ်။
Please write your name,နာမည် ရေးပါ။
My sister will marry next spring,နောက်နှစ် နွေဦးကျရင် အစ်မ မင်္ဂလာဆောင်မယ်။
Is Japanese food spicy,ဂျပန်က ဟင်းတွေက စပ်သလား။
We write answers on tests with ballpoint pens,စာမေးပွဲမှာ အဖြေကို ဘောပင်နဲ့ ရေးတယ်။
I will go home,အိမ်ပြန်မယ်။
Mr Matsui lives in a quiet town,မစ္စတာမဆုအိက ဆိတ်ငြိမ်တဲ့မြို့မှာ နေတယ်။
That person is an international student at this school,ဟိုလူက ဒီကျောင်းကနိုင်ငံခြားသားကျောင်းသားပါ။
You really work hard,မင်း တော်တော် အလုပ်လုပ်တာပဲနော်။
I will go on a trip abroad for two weeks from next week,နောက်အပတ်ကစပြီး နှစ်ပတ်ကြာ နိုင်ငံခြားခရီး သွားမယ်။
This coat costs ten thousand yen,ဒီကုတ်အင်္ကျီက တစ်သောင်းပါ။
It is my wifes birthday today so I am thinking of going home early,ဒီနေ့ အမျိုးသမီးရဲ့ မွေးနေ့မို့လို့ အိမ် စောစော ပြန်ဖြစ်အောင် ပြန်မယ်။
Mr Lee understands Japanese,မစ္စတာလီ ဂျပန်စကား နားလည်တယ်။
Even if it snows I will still go to school,နှင်းကျလည်း ကျောင်းသွားတယ်။
Mr Yamada is strong and healthy,မစ္စတာယာမာဒါက သန်စွမ်းပြီး တက်တက်ကြွကြွ ရှိတယ်။
I will hand in the composition to the teacher tomorrow,မနက်ဖန် ဆရာ့ဆီ စာစီစာကုံး ထပ်မယ်။
I am thinking of going to the beach to swim the day after tomorrow,သန်ဘက်ခါ ပင်လယ်မှာ ရေသွားကူးမယ်လို့ စိတ်ကူးထားတယ်။
Mr Hayashi probably knows the news,မစ္စတာဟယရှိ အဲဒီသတင်းကို သိလိမ့်မယ်။
I will wear a tie because I will meet people in the course of my work,အလုပ်ကိစ္စနဲ့ ဧည့်သည်နဲ့ တွေ့ရမှာမို့ နက်ကတိုင် စည်းရမယ်။
I arranged a bowl and chopsticks on the table,စားပွဲခုံပေါ်မှာ ပန်းကန်လုံးနဲ့ တူတွေကို စီထားမယ်။
I did not do anything during last weeks vacation,ရှေ့တစ်ပတ် ပိတ်တုန်းက ဘာမှ မလုပ်ဘူး။
Ms Kimura likes flowers,မစ္စတာခိမုရက ပန်း ကြိုက်တယ်။
I like meat more than fish,ကျွန်တော် အသားထက် ငါးကို ပိုကြိုက်တယ်။
Class starts at  in the morning,မနက်ကိုးနာရီကနေ သင်ခန်းစာအသစ်အတန်း စမယ်။
In summer it becomes hot,နွေ ရောက်ရင် ပူလာမယ်။
Starting next year my brother will work at a bank,ကျွန်တော့်အစ်ကို လာမယ့်နှစ်ကစပြီး ဘဏ်မှာ အလုပ်ဝင်မယ်။
I wake up at  every morning,နေ့တိုင်း ခြောက်နာရီမှာ အိပ်ရာထတယ်။
Thats right,ဟုတ်တယ်နော်။
There arent a lot of tall buildings around here,ဒီနားမှာ အဆောက်အအုံ ခပ်မြင့်မြင့်တွေ မရှိဘူး။
That is Mr Tanakas,အဲဒါ မစ္စတာတာနာခါရဲ့ ဥစ္စာပါ။
I dont like cleaning or doing the laundry,ကျွန်တော် သန့်ရှင်းရေးတို့ အဝတ်လျှော်တာတို့ကို လုပ်ရတာ မုန်းတယ်။
The person over there is probably Mr Yamada,အဲဒီမှာ ရှိတဲ့လူက မစ္စတာယာမာဒါ ဖြစ်လိမ့်မယ်။
I will wear glasses because my eyes are bad,မျက်စိ မကောင်းလို့ မျက်မှန်တပ်မယ်။
My brothers room is smaller than my room,ကျွန်တော့်အခန်းထက် ညီလေးရဲ့ အခန်းက ပိုကျဉ်းတယ်။
I waited in queue for an hour to watch the film yesterday,မနေ့က ရုပ်ရှင်ကြည့်ဖို့ တစ်နာရီ တန်းစီခဲ့ရတယ်။
Thanks,ကျေးဇူးတင်ပါတယ်။
I am thinking of getting my hair cut at the beauty salon next week,နောက်အပတ် အလှပြင်ဆိုင်မှာ ဆံပင် သွားညှပ်မလို့ စိတ်ကူးနေတယ်။
What time is it now,အခု ဘယ်နှနာရီ ဘယ်နှမိနစ် ရှိပြီလဲ။
I would like to go to a quiet and beautiful place,ကျွန်တော် ဆိတ်ငြိမ်ပြီး လှပသန့်ရှင်းတဲ့နေရာကို သွားချင်တယ်။
There is a supermarket behind the station,ဘူတာရဲ့ အနောက်မှာ စူပါမားကက် ရှိတယ်။
There is a small girl over there,ဟိုမှာ ကောင်မလေးငယ်ငယ်လေး တစ်ယောက် ရှိတယ်။
There is a small dog in the box,သေတ္တာပုံးထဲမှာ ခွေးသေးသေးလေး ရှိတယ်။
Why dont we have some tea,လက်ဖက်ရည်လေးဘာလေး သောက်ရအောင်လား။
This village is quiet and beautiful,ဒီရွာက တိတ်ဆိတ်ပြီး သာယာတယ်။
Ms Matsui sat in front of me,ကျွန်တော့်ရှေ့မှာ မစ္စတာမဆုအိ ထိုင်တယ်။
I will go see a film with my friend tomorrow,မနက်ဖန် သူငယ်ချင်းနဲ့ ရုပ်ရှင် သွားကြည့်မယ်။
I borrowed a phone from Mr Kimura,မစ္စတာခိမုရက ဖုန်း ငှားပေးထားတယ်။
It was written in the letter,စာထဲမှာ ရေးထားတယ်။
I couldnt answer the question because it was too hard,မေးခွန်း ခက်လို့ မဖြေနိုင်ဘူး။
Ms Kimura which one do you like,မစ္စတာခိမုရ ဘယ်တစ်ခုကို ကြိုက်လဲ။
This meat is the cheapest,ဒီအသားက ဈေးအပေါဆုံးပါ။
I will sit on a chair and talk,ထိုင်ခုံမှာ ထိုင်ပြီး စကားပြောမယ်။
It is  right now,ဆယ်နာရီ ငါးဆယ့်တစ်မိနစ်ပါ။
I want to drink water,ရေသောက်ချင်တယ်။
I will take off my clothes because I am going to take a bath,ရေချိုးခန်း ဝင်မလို့ အင်္ကျီချွတ်မယ်။
Class will finish in the morning tomorrow,မနက်ဖန် နေ့လယ်ဆို အတန်း ပြီးပြီ။
When you turn left at that building there is a hospital,အဲဒီအဆောက်အအုံရဲ့ ဘယ်ဘက်ကို ကွေ့လိုက်ရင် ဆေးရုံ ရှိတယ်။
This bread is thick,ဒီဘောပင်က တုတ်တယ်။
I want to go across the river so I will cross the bridge,ချောင်းဟိုဘက်ကို သွားချင်လို့ တံတားကို ကူးတယ်။
